clean,corrupted,group,plural
The senator that the guard likes,The senators that the guard likes,ML-obj_rel_across_anim_all,0
The teacher that hates the guard,The teachers that hate the guard,ML-subj_rel_all,0
The shows the guard loves,The show the guard loves,ML-obj_rel_no_comp_across_inanim_all,1
The teacher that the chef loves,The teachers that the chef loves,ML-obj_rel_across_anim_all,0
The show the chef,The show the chefs,ML-obj_rel_no_comp_within_inanim_all,0
The novel that the chefs,The novel that the chef,ML-obj_rel_within_inanim_all,1
The authors the dancer admires,The author the dancer admires,ML-obj_rel_no_comp_across_anim_all,1
The farmers that the taxi drivers hate,The farmer that the taxi drivers hate,ML-obj_rel_across_anim_all,1
The farmers that the executive hates,The farmer that the executive hates,ML-obj_rel_across_anim_all,1
The bankers said the officer,The bankers said the officers,ML-sent_comp_all,0
The song the chef likes,The songs the chef likes,ML-obj_rel_no_comp_across_inanim_all,0
The pilot behind the architects,The pilots behind the architects,ML-prep_anim_all,0
The senator across from the taxi drivers,The senators across from the taxi drivers,ML-prep_anim_all,0
The author that the skater admires,The authors that the skater admires,ML-obj_rel_across_anim_all,0
The farmers that hate the dancers,The farmer that hates the dancers,ML-subj_rel_all,1
The songs that the skater likes,The song that the skater likes,ML-obj_rel_across_inanim_all,1
The movies that the taxi drivers admire,The movie that the taxi drivers admire,ML-obj_rel_across_inanim_all,1
The manager that hates the skaters,The managers that hate the skaters,ML-subj_rel_all,0
The customers that love the chefs,The customer that loves the chefs,ML-subj_rel_all,1
The author that the skaters hate,The authors that the skaters hate,ML-obj_rel_across_anim_all,0
The surgeons that the taxi drivers,The surgeons that the taxi driver,ML-obj_rel_within_anim_all,1
The senator across from the chef,The senators across from the chef,ML-prep_anim_all,0
The officer that the skaters like,The officers that the skaters like,ML-obj_rel_across_anim_all,0
The song from the architects,The songs from the architects,ML-prep_inanim_all,0
The teachers behind the parents,The teacher behind the parents,ML-prep_anim_all,1
The senator the executives hate,The senators the executives hate,ML-obj_rel_no_comp_across_anim_all,0
The officer in front of the architects,The officers in front of the architects,ML-prep_anim_all,0
The song that the executive likes,The songs that the executive likes,ML-obj_rel_across_inanim_all,0
The customer the architects like,The customers the architects like,ML-obj_rel_no_comp_across_anim_all,0
The novel that the dancers,The novel that the dancer,ML-obj_rel_within_inanim_all,1
The customers that the dancers love,The customer that the dancers love,ML-obj_rel_across_anim_all,1
The farmers that the dancer hates,The farmer that the dancer hates,ML-obj_rel_across_anim_all,1
The consultant that the chef hates,The consultants that the chef hates,ML-obj_rel_across_anim_all,0
The authors that love the parent,The author that loves the parent,ML-subj_rel_all,1
The book that the chef likes,The books that the chef likes,ML-obj_rel_across_inanim_all,0
The customer the dancers,The customer the dancer,ML-obj_rel_no_comp_within_anim_all,1
The senator the assistants,The senator the assistant,ML-obj_rel_no_comp_within_anim_all,1
The picture that the guards hate,The pictures that the guards hate,ML-obj_rel_across_inanim_all,0
The song the guards,The song the guard,ML-obj_rel_no_comp_within_inanim_all,1
The officer that the dancers hate,The officers that the dancers hate,ML-obj_rel_across_anim_all,0
The poems that the skaters,The poems that the skater,ML-obj_rel_within_inanim_all,1
The pictures that the guard loves,The picture that the guard loves,ML-obj_rel_across_inanim_all,1
The farmer to the side of the executive,The farmers to the side of the executive,ML-prep_anim_all,0
The senators that like the minister,The senator that likes the minister,ML-subj_rel_all,1
The movie the architect admires,The movies the architect admires,ML-obj_rel_no_comp_across_inanim_all,0
The officer that the skaters hate,The officers that the skaters hate,ML-obj_rel_across_anim_all,0
The surgeon behind the minister,The surgeons behind the minister,ML-prep_anim_all,0
The songs the executives admire,The song the executives admire,ML-obj_rel_no_comp_across_inanim_all,1
The farmer in front of the guard,The farmers in front of the guard,ML-prep_anim_all,0
The teacher across from the chefs,The teachers across from the chefs,ML-prep_anim_all,0
The author near the executives,The authors near the executives,ML-prep_anim_all,0
The movie that the guard loves,The movies that the guard loves,ML-obj_rel_across_inanim_all,0
The consultants that like the chef,The consultant that likes the chef,ML-subj_rel_all,1
The books that the chef,The books that the chefs,ML-obj_rel_within_inanim_all,0
The teachers the architect,The teachers the architects,ML-obj_rel_no_comp_within_anim_all,0
The mechanic thought the surgeons,The mechanic thought the surgeon,ML-sent_comp_all,1
The poems the ministers admire,The poem the ministers admire,ML-obj_rel_no_comp_across_inanim_all,1
The consultant that the architect hates,The consultants that the architect hates,ML-obj_rel_across_anim_all,0
The picture the ministers,The picture the minister,ML-obj_rel_no_comp_within_inanim_all,1
The pilots in front of the skater,The pilot in front of the skater,ML-prep_anim_all,1
The farmers that the architects like,The farmer that the architects like,ML-obj_rel_across_anim_all,1
The poems the guards hate,The poem the guards hate,ML-obj_rel_no_comp_across_inanim_all,1
The novels that the taxi drivers like,The novel that the taxi drivers like,ML-obj_rel_across_inanim_all,1
The books that the taxi driver admires,The book that the taxi driver admires,ML-obj_rel_across_inanim_all,1
The song that the taxi drivers like,The songs that the taxi drivers like,ML-obj_rel_across_inanim_all,0
The authors the executives love,The author the executives love,ML-obj_rel_no_comp_across_anim_all,1
The officers that the assistants like,The officer that the assistants like,ML-obj_rel_across_anim_all,1
The movie that the dancers love,The movies that the dancers love,ML-obj_rel_across_inanim_all,0
The song that the ministers,The song that the minister,ML-obj_rel_within_inanim_all,1
The surgeon the taxi drivers love,The surgeons the taxi drivers love,ML-obj_rel_no_comp_across_anim_all,0
The farmers that the dancers hate,The farmer that the dancers hate,ML-obj_rel_across_anim_all,1
The surgeons next to the parent,The surgeon next to the parent,ML-prep_anim_all,1
The teacher the chefs,The teacher the chef,ML-obj_rel_no_comp_within_anim_all,1
The movie from the assistants,The movies from the assistants,ML-prep_inanim_all,0
The games the dancer hates,The game the dancer hates,ML-obj_rel_no_comp_across_inanim_all,1
The consultants behind the chefs,The consultant behind the chefs,ML-prep_anim_all,1
The novel that the skater,The novel that the skaters,ML-obj_rel_within_inanim_all,0
The surgeons next to the executives,The surgeon next to the executives,ML-prep_anim_all,1
The song that the architects love,The songs that the architects love,ML-obj_rel_across_inanim_all,0
The poem the minister admires,The poems the minister admires,ML-obj_rel_no_comp_across_inanim_all,0
The pilot,The pilots,ML-simple_agrmt_all,0
The movie the guard admires,The movies the guard admires,ML-obj_rel_no_comp_across_inanim_all,0
The senator the taxi drivers like,The senators the taxi drivers like,ML-obj_rel_no_comp_across_anim_all,0
The mechanics said the farmer,The mechanics said the farmers,ML-sent_comp_all,0
The surgeons that love the chefs,The surgeon that loves the chefs,ML-subj_rel_all,1
The consultant the ministers,The consultant the minister,ML-obj_rel_no_comp_within_anim_all,1
The senators next to the assistant,The senator next to the assistant,ML-prep_anim_all,1
The painting the parent loves,The paintings the parent loves,ML-obj_rel_no_comp_across_inanim_all,0
The poem that the taxi driver hates,The poems that the taxi driver hates,ML-obj_rel_across_inanim_all,0
The surgeon the parent,The surgeon the parents,ML-obj_rel_no_comp_within_anim_all,0
The senators behind the parents,The senator behind the parents,ML-prep_anim_all,1
The teacher the assistants hate,The teachers the assistants hate,ML-obj_rel_no_comp_across_anim_all,0
The pilots to the side of the parents,The pilot to the side of the parents,ML-prep_anim_all,1
The customers that the assistants hate,The customer that the assistants hate,ML-obj_rel_across_anim_all,1
The pilots behind the skater,The pilot behind the skater,ML-prep_anim_all,1
The movies that the dancer,The movies that the dancers,ML-obj_rel_within_inanim_all,0
The officers that love the executives,The officer that loves the executives,ML-subj_rel_all,1
The consultant the dancer loves,The consultants the dancer loves,ML-obj_rel_no_comp_across_anim_all,0
The novel by the dancers,The novels by the dancers,ML-prep_inanim_all,0
The song the dancers hate,The songs the dancers hate,ML-obj_rel_no_comp_across_inanim_all,0
The surgeons that the executives like,The surgeon that the executives like,ML-obj_rel_across_anim_all,1
The managers the ministers hate,The manager the ministers hate,ML-obj_rel_no_comp_across_anim_all,1
The picture from the dancers,The pictures from the dancers,ML-prep_inanim_all,0
The surgeons the dancers admire,The surgeon the dancers admire,ML-obj_rel_no_comp_across_anim_all,1
The consultants in front of the architects,The consultant in front of the architects,ML-prep_anim_all,1
The paintings that the skaters like,The painting that the skaters like,ML-obj_rel_across_inanim_all,1
The teacher that the executives hate,The teachers that the executives hate,ML-obj_rel_across_anim_all,0
The surgeons across from the guard,The surgeon across from the guard,ML-prep_anim_all,1
The senator the dancer likes,The senators the dancer likes,ML-obj_rel_no_comp_across_anim_all,0
The farmers the taxi drivers admire,The farmer the taxi drivers admire,ML-obj_rel_no_comp_across_anim_all,1
The surgeon across from the executives,The surgeons across from the executives,ML-prep_anim_all,0
The poems that the minister likes,The poem that the minister likes,ML-obj_rel_across_inanim_all,1
The farmer the skaters like,The farmers the skaters like,ML-obj_rel_no_comp_across_anim_all,0
The pictures from the parent,The picture from the parent,ML-prep_inanim_all,1
The songs that the assistants like,The song that the assistants like,ML-obj_rel_across_inanim_all,1
The officer that the skater likes,The officers that the skater likes,ML-obj_rel_across_anim_all,0
The novels that the chefs like,The novel that the chefs like,ML-obj_rel_across_inanim_all,1
